date,open,high,low,close,volume
2019-10-29,9.8,10.1,9.674,9.707,7500
2019-10-30,9.98,9.98,9.351,9.584,13400
2019-10-31,9.577,9.68,9.538,9.58,9700
2019-11-01,9.86,9.97,9.456,9.555,13200
2019-11-04,9.71,9.72,9.48,9.51,6100
2019-11-05,9.56,9.97,9.37,9.6,3300
2019-11-06,9.507,9.56,9.5,9.56,2100
2019-11-07,9.25,9.624,9.25,9.33,5500
2019-11-08,9.282,9.68,9.08,9.39,5000
2019-11-11,9.07,9.1,8.8,8.81,8700
2019-11-12,9.078,9.078,8.69,8.727,9200
2019-11-13,8.7,8.814,8.565,8.636,5900
2019-11-14,8.657,8.67,8.511,8.57,3700
2019-11-15,8.675,8.822,8.673,8.7,5800
2019-11-18,8.278,8.562,8.278,8.5,3000
2019-11-19,8.4,8.615,8,8.29,10600
2019-11-20,8.32,8.34,8.3,8.331,1900
2019-11-21,8.18,8.4,8.115,8.34,4700
2019-11-22,8.3,8.475,8.241,8.27,14700
2019-11-25,8.3,8.51,8.18,8.356,15300
2019-11-26,8.31,8.31,7.97,7.97,6700
2019-11-27,7.93,7.93,7.6,7.8,10300
2019-11-29,7.813,7.85,7.813,7.85,500
2019-12-02,8.18,8.18,7.66,7.75,7300
2019-12-03,7.72,8,7.66,7.805,14600
2019-12-04,8.075,8.119,7.9,8.05,10600
2019-12-05,8.27,8.455,8.12,8.35,6600
2019-12-06,8.61,8.771,8.48,8.48,9700
2019-12-09,8.53,9.14,8.48,9.128,5800
2019-12-10,9.16,9.425,9.065,9.4,6500
2019-12-11,9.323,9.66,9.2,9.66,9800
2019-12-12,9.75,9.77,9.46,9.46,8100
2019-12-13,9.564,9.608,9.56,9.56,3300
2019-12-16,9.72,9.84,9.59,9.76,13100
2019-12-17,10.068,10.068,9.19,9.9,3300
2019-12-18,10.1,10.4,9.984,10,71000
2019-12-19,9.946,10.251,9.877,9.95,18300
2019-12-20,10.41,10.41,9.82,9.87,43700
2019-12-23,10.19,10.6,10.12,10.15,58300
2019-12-24,10.33,10.588,10.11,10.588,4200
2019-12-26,11.46,12.49,11.46,11.95,14100
2019-12-27,12.1,12.1,10.67,10.67,41200
2019-12-30,10.737,10.997,10.65,10.963,7300
2019-12-31,10.91,11.55,10.91,10.95,9300
2020-01-02,11.379,11.379,10.59,10.59,9100
2020-01-03,10.45,10.59,10.3,10.3,3600
2020-01-06,10.26,10.46,10.13,10.19,16700
2020-01-07,10.25,10.295,9.9,10.079,21600
2020-01-08,10.24,10.25,9.91,10,10100
2020-01-09,9.881,10.038,9.775,9.9,56900
2020-01-10,11.5,12.165,10.87,11.25,50200
2020-01-13,11.81,13,11.5,12.971,92700
2020-01-14,13.24,13.24,12.124,12.64,42600
2020-01-15,12.89,13.49,12.7,13.01,68900
2020-01-16,13,13.25,13,13.079,24900
2020-01-17,13.33,13.33,12.96,13.011,15500
2020-01-21,12.73,12.94,12.4,12.4,18100
2020-01-22,12,13,11.95,12.49,249900
2020-01-23,12.58,12.75,11.95,12.21,64000
2020-01-24,12.547,12.58,11.89,12.13,52400
2020-01-27,13,13,11.725,11.98,66400
2020-01-28,11.98,14.19,11.939,13.7,87000
2020-01-29,14,14.4,13.05,14.34,77300
2020-01-30,14.82,15.83,14.29,15.67,114700
2020-01-31,16.190001,17.200001,15.83,16.690001,184500
2020-02-03,17,17.43,15.86,16.709999,210600
2020-02-04,17.18,17.32,16.631001,17.27,94900
2020-02-05,17.549999,18.216999,17.395,17.860001,111300
2020-02-06,18.059999,19.629999,18.01,19.309999,196200
2020-02-07,20,20.601999,18.58,19.700001,249700
2020-02-10,19.83,20.26,18.18,18.34,159900
2020-02-11,18.35,18.632999,17.01,17.389999,89900
2020-02-12,17.4,17.4,15.97,16.18,161300
2020-02-13,16.049999,18.58,15.75,17.620001,110100
2020-02-14,18.059999,18.059999,16.75,16.91,33300
2020-02-18,17,17.919001,16.295,17.059999,72600
2020-02-19,16.99,17.32,16.35,16.51,53700
2020-02-20,16.25,16.889999,15.55,16.67,80400
2020-02-21,16.540001,16.860001,16.191,16.77,21000
2020-02-24,17.01,17.01,15.22,15.96,51200
2020-02-25,16.5,16.596001,14.449,14.84,75700
2020-02-26,15,15.51,14.66,14.72,46800
2020-02-27,14.39,14.86,13.65,14.49,65000
2020-02-28,14.09,14.476,12.91,13.05,114300
2020-03-02,13.14,14.16,12.9,13.49,81300
2020-03-03,13.65,14.1,12.962,13.17,56400
2020-03-04,13.73,14.79,13.603,14.79,115600
2020-03-05,14.75,14.75,14.04,14.19,54300
2020-03-06,13.81,14.245,13.6,13.88,46100
2020-03-09,12.76,12.975,11.73,12.01,90700
2020-03-10,12.65,13.41,11.21,11.56,94000
2020-03-11,11.15,11.39,10.69,10.99,48500
2020-03-12,10.14,10.76,8.83,9.25,69100
2020-03-13,9.22,10.44,9.01,10.12,69800
2020-03-16,9.03,10.59,9,9.29,58300
2020-03-17,9.649,10.03,8.97,9.3,110700
2020-03-18,9,9.21,7.12,7.55,186300
2020-03-19,7.82,7.98,7.03,7.65,130300
2020-03-20,8.76,8.8,7.74,7.74,64300
2020-03-23,7.77,8,6.53,6.875,96500
2020-03-24,7.31,8.2,7.22,7.92,61100
2020-03-25,7.99,9.36,7.5,8.93,78800
2020-03-26,9.25,10.2,9.13,10.06,71300
2020-03-27,9.25,9.81,9,9.4,46600
2020-03-30,9.23,9.79,9,9.79,25600
2020-03-31,9.23,11.012,9.23,9.74,76100
2020-04-01,10.01,10.01,9.06,9.41,32200
2020-04-02,9.41,10.01,9.14,9.67,34700
2020-04-03,9.51,9.9,9.303,9.75,43800
2020-04-06,10.99,10.99,9.8,10.31,98900
2020-04-07,10.9,11.35,10.44,10.68,56600
2020-04-08,10.27,12.38,10.27,12.08,100600
2020-04-09,12.49,12.59,11.43,11.62,80100
2020-04-13,11.23,11.99,10.54,11.96,45600
2020-04-14,11.96,13.232,11.936,12.58,68300
2020-04-15,12.5,12.5,11.7,12.2,43600
2020-04-16,12.23,12.27,11.74,11.8,28700
2020-04-17,12.39,12.39,11.8,11.84,34500
2020-04-20,12.21,12.45,11.53,12,85700
2020-04-21,12.1,12.53,11.21,11.66,73600
2020-04-22,11.5,12.11,11.4,11.77,84500
2020-04-23,12.13,12.97,11.75,12.32,131100
2020-04-24,12.45,12.89,12.35,12.71,101700
2020-04-27,12.97,13.2,12.2,13.09,57700
2020-04-28,13.37,13.98,13.12,13.65,107100
2020-04-29,14.24,15.04,13.7,14.47,85700
2020-04-30,14.3,14.61,13.47,13.47,78100
2020-05-01,13.11,13.29,12.45,12.46,53700
2020-05-04,12.46,12.571,12.07,12.21,47000
2020-05-05,12.39,12.78,12.25,12.25,37100
2020-05-06,12.17,12.9,12.06,12.78,27700
2020-05-07,12.78,13.21,12.42,13.05,56600
2020-05-08,13.009,14.71,13.009,13.61,35600
2020-05-11,13.54,13.65,13.31,13.42,34200
2020-05-12,13.46,13.77,13.33,13.4,18800
2020-05-13,13.25,13.5,12.08,12.25,48300
2020-05-14,12.4,12.546,11.5,12.17,46300
