date,open,high,low,close,volume
2020-10-01,40,42,37.639999,39.310001,5286700
2020-10-02,38,47.799999,37.91,41.900002,767100
2020-10-05,42.82,46.950001,42.060001,46.220001,415600
2020-10-06,46.57,47.740002,45.009998,46.790001,294200
2020-10-07,47,52,46.060001,47.099998,422200
2020-10-08,47.549999,48.736,42.619999,43.119999,442200
2020-10-09,43.110001,45.514999,42,42.25,172400
2020-10-12,42.689999,44.310001,41,42,198100
2020-10-13,41.34,42.275002,39.869999,41.349998,414300
2020-10-14,40.34,43.290001,40.34,42.130001,231600
2020-10-15,41.610001,44.5,40.209999,42.400002,129500
2020-10-16,42.34,45.439999,42.009998,44.459999,103400
2020-10-19,45.150002,47.965,44.459999,47.279999,133700
2020-10-20,47,49.047001,45.630001,48.75,83200
2020-10-21,48.75,48.75,43.330002,43.900002,177700
2020-10-22,43.900002,44.759998,42.310001,43.060001,194100
2020-10-23,42.889999,43.619999,40.470001,42.240002,332800
2020-10-26,41.41,43.970001,41.005001,42.650002,146000
2020-10-27,43,44.486,41.5,41.889999,155900
2020-10-28,41.5,43.290001,41.5,42.299999,61400
2020-10-29,41.880001,43.810001,41.880001,43.060001,68600
2020-10-30,42.25,43.68,40.919998,42.060001,275000
2020-11-02,41.860001,43.759998,41.080002,42.939999,145400
2020-11-03,42.740002,47.02,41.740002,47.02,170700
2020-11-04,46.509998,49,46.099998,46.630001,98300
2020-11-05,45.73,48.985001,45.509998,48.220001,166400
2020-11-06,47.790001,48.331001,45.990002,46.799999,115800
2020-11-09,47.150002,48.689999,45.919998,48.110001,197500
2020-11-10,47.209999,47.605,45.220001,46.330002,101600
2020-11-11,45.209999,47,43,45.73,229300
2020-11-12,45.450001,46.740002,44.299,46.25,179900
2020-11-13,46.57,47.5,46.025002,46.490002,138900
2020-11-16,47.029999,47.73,46.005001,47.139999,92900
2020-11-17,46.900002,47.220001,45.549999,46.740002,89900
2020-11-18,47.119999,47.5,46.25,46.709999,121200
2020-11-19,46.580002,47.599998,45.41,46.68,82800
2020-11-20,46.790001,47,45.755001,46.450001,171200
2020-11-23,46.91,51.470001,46.310001,48.459999,299300
2020-11-24,49.099998,53.237999,47.880001,50.799999,235300
2020-11-25,50.799999,53.619999,48.261002,52.799999,194600
2020-11-27,53,55.66,52.169998,55,100100
2020-11-30,55.139999,56.990002,51.124001,54.200001,246700
2020-12-01,54.889999,56.009998,51.450001,52.970001,213400
2020-12-02,52.82,53.222,50.189999,51.060001,149200
2020-12-03,50.57,52,50.029999,51.599998,115100
2020-12-04,51.73,51.73,49,50.380001,438600
2020-12-07,50.82,53.814999,49.522999,51.599998,283200
2020-12-08,51.43,52.312,50.744999,51.630001,168400
2020-12-09,51.970001,52.98,50.390999,51.279999,273200
2020-12-10,51.209999,52.099998,49.830002,50.790001,187900
2020-12-11,50.369999,52.630001,49.814999,50.810001,326400
2020-12-14,51.490002,54.5,46.049999,46.57,241600
2020-12-15,46.290001,48.029999,45.75,47.810001,290500
2020-12-16,47.5,51.349998,47.042999,49.560001,369400
2020-12-17,50.57,51.709999,49.23,50.549999,354500
2020-12-18,50.849998,56.049999,50.400002,53.619999,2390900
2020-12-21,52.619999,56,50.75,55.77,364100
2020-12-22,55.470001,60.650002,55.060001,60.48,467000
2020-12-23,60.610001,65.830002,58.990002,65.190002,419000
2020-12-24,64.43,66.839996,64.040001,65.220001,147200
2020-12-28,65.68,66.419998,60,63.18,149700
2020-12-29,62.630001,64.139999,61.18,62.779999,133300
2020-12-30,63.119999,66.949997,60.57,66.669998,186700
2020-12-31,66.970001,69.477997,64.889999,69.019997,268400
