date,open,high,low,close,volume
2016-10-28,9.88,9.88,9.88,9.88,500
2016-10-31,9.88,9.88,9.88,9.88,0
2016-11-01,9.88,9.88,9.88,9.88,0
2016-11-02,9.88,9.88,9.88,9.88,0
2016-11-03,9.88,9.88,9.88,9.88,0
2016-11-04,9.88,9.88,9.88,9.88,0
2016-11-07,9.88,9.88,9.88,9.88,0
2016-11-08,9.91,9.925,9.9,9.9,2000
2016-11-09,9.9,9.9,9.9,9.9,0
2016-11-10,9.9,9.9,9.9,9.9,0
2016-11-11,9.88,9.88,9.88,9.88,500
2016-11-14,9.88,9.88,9.88,9.88,0
2016-11-15,9.88,9.88,9.88,9.88,0
2016-11-16,9.88,9.88,9.88,9.88,0
2016-11-17,9.88,9.88,9.88,9.88,0
2016-11-18,9.91,9.91,9.91,9.91,5000
2016-11-21,9.91,9.91,9.91,9.91,0
2016-11-22,9.91,9.91,9.91,9.91,0
2016-11-23,9.95,9.95,9.95,9.95,10900
2016-11-25,9.95,9.95,9.95,9.95,0
2016-11-28,9.95,9.95,9.95,9.95,0
2016-11-29,9.95,9.95,9.95,9.95,0
2016-11-30,9.95,9.95,9.95,9.95,0
2016-12-01,10,10,10,10,1800
2016-12-02,10,10,10,10,0
2016-12-05,10,10,10,10,0
2016-12-06,9.9,9.91,9.9,9.91,700
2016-12-07,10,10,9.9,9.9,1500
2016-12-08,9.9,9.9,9.9,9.9,0
2016-12-09,9.9,9.9,9.9,9.9,0
2016-12-12,9.9,9.9,9.9,9.9,0
2016-12-13,9.9,9.9,9.9,9.9,0
2016-12-14,9.95,9.95,9.95,9.95,10900
2016-12-15,9.91,9.91,9.9,9.9,2000
2016-12-16,9.95,9.95,9.95,9.95,500
2016-12-19,9.95,9.95,9.95,9.95,0
2016-12-20,9.95,9.95,9.95,9.95,0
2016-12-21,10,10,10,10,500
2016-12-22,10,10,10,10,0
2016-12-23,10,10,10,10,0
2016-12-27,10,10,10,10,0
2016-12-28,10,10,10,10,1000
2016-12-29,10,10,10,10,0
2016-12-30,10,10,10,10,0
2017-01-03,10,10,10,10,0
2017-01-04,10.01,10.01,10,10,1000
2017-01-05,10.02,10.02,10.02,10.02,100
2017-01-06,10.02,10.02,10.02,10.02,0
2017-01-09,10.04,10.04,10,10.03,17600
2017-01-10,10.01,10.028,10,10.01,23900
2017-01-11,10.01,10.01,10.01,10.01,0
2017-01-12,10.01,10.01,10.01,10.01,0
2017-01-13,10.01,10.01,10.01,10.01,0
2017-01-17,10.01,10.01,10.01,10.01,0
2017-01-18,10.01,10.01,10.01,10.01,0
2017-01-19,10.01,10.01,10.01,10.01,0
2017-01-20,10.01,10.01,10.01,10.01,0
2017-01-23,10.01,10.01,10.01,10.01,0
2017-01-24,10.01,10.01,10.01,10.01,0
2017-01-25,10.09,10.16,10.09,10.16,65000
2017-01-26,10.16,10.16,10.16,10.16,0
2017-01-27,10.16,10.16,10.16,10.16,0
2017-01-30,10.16,10.16,10.16,10.16,0
2017-01-31,10.01,10.01,10.01,10.01,400
2017-02-01,10.01,10.01,10.01,10.01,0
2017-02-02,10.01,10.01,10.01,10.01,0
2017-02-03,10.01,10.01,10.01,10.01,1000
