date,open,high,low,close,volume
2007-08-10,22,29,21,28.5,9800300
2007-08-13,31.200001,39.669998,29,31.65,3162100
2007-08-14,32.450001,32.700001,29.98,30.030001,609300
2007-08-15,30.209999,30.209999,28.049999,28.559999,991800
2007-08-16,28.25,30,25.059999,28.1,1107500
2007-08-17,30.32,33.639999,30,32.849998,438100
2007-08-20,32.900002,33.5,29.5,30.469999,235000
2007-08-21,29.709999,30.290001,27.76,29.02,180500
2007-08-22,29.15,30.83,29.15,29.57,77900
2007-08-23,30.889999,30.889999,28.9,30,244700
2007-08-24,29.16,30.25,28.52,30,144200
2007-08-27,29.370001,30.25,28.51,29.4,173200
2007-08-28,29.299999,29.799999,28.5,28.9,292600
2007-08-29,29.52,30.719999,28.76,29.33,113800
2007-08-30,29.75,29.75,28.549999,28.75,259600
2007-08-31,29.15,29.15,28,28.120001,69100
2007-09-04,28.01,29,27.280001,28,135500
2007-09-05,27.379999,28.91,27,28.51,198800
2007-09-06,28.860001,32.25,28.76,29.93,179300
2007-09-07,30.68,31.700001,29.25,29.5,74900
2007-09-10,29.75,30.66,29.07,29.299999,118000
2007-09-11,29.67,29.75,28.83,29.08,106100
2007-09-12,28.870001,29.76,28.280001,29.17,76500
2007-09-13,29.200001,29.440001,28.940001,29,22700
2007-09-14,28.610001,29.76,28.040001,28.5,117200
2007-09-17,28.25,28.41,27.610001,27.75,71900
2007-09-18,27.75,29.16,27.469999,28,167800
2007-09-19,30.1,33.740002,30.049999,33.279999,697200
2007-09-20,33.490002,38.349998,32.990002,37.060001,505100
2007-09-21,36.52,40.669998,35.630001,40.52,324000
2007-09-24,38.27,41.299999,38.259998,41.060001,312300
2007-09-25,38.720001,39.990002,37.07,38.200001,262100
2007-09-26,38,38.119999,36.5,38.080002,326700
2007-09-27,38.5,39.919998,35.759998,36.919998,380400
2007-09-28,36.23,38,35.369999,36.259998,1571400
2007-10-01,36.630001,39.240002,35.560001,36.709999,227700
2007-10-02,37.630001,40,37.240002,39.400002,304200
2007-10-03,39.16,42.790001,38.57,42.119999,383000
2007-10-04,42.709999,43.75,40.200001,41.27,216700
2007-10-05,42.25,43.220001,40,41.110001,745200
2007-10-08,40.860001,41.34,39.360001,41.02,102600
2007-10-09,40.970001,45.43,40.66,45.380001,405200
2007-10-10,45.57,45.57,43.900002,44.939999,234300
2007-10-11,45.119999,45.490002,40.400002,41.209999,331000
2007-10-12,41,42.639999,40.099998,40.459999,178300
2007-10-15,41.349998,42.139999,37,38.439999,234200
2007-10-16,38.049999,38.650002,35.459999,36.93,237500
2007-10-17,37.82,39.5,37.189999,38.580002,203600
2007-10-18,38.209999,41,37.23,39.84,188800
2007-10-19,39.799999,40.349998,37.299999,37.299999,88100
2007-10-22,37.25,39.68,36.48,38.639999,157500
2007-10-23,39.57,44.119999,39.57,42.830002,336100
2007-10-24,42.23,42.389999,37.470001,39.380001,358400
2007-10-25,39.349998,40.349998,38.360001,40.029999,108800
2007-10-26,40.110001,43.349998,39.66,43.07,232600
2007-10-29,43.16,45.919998,42.380001,44.59,341600
2007-10-30,44.599998,48.16,44.599998,45.860001,405400
2007-10-31,46.18,46.18,41.139999,44.68,336200
2007-11-01,44.209999,44.400002,40.5,41.360001,287100
2007-11-02,42.029999,45,40.5,44.34,246100
2007-11-05,43.200001,44.939999,42.279999,43.529999,138500
2007-11-06,43.5,45.799999,43.200001,45.48,138200
2007-11-07,44.34,44.84,37.34,39.400002,462700
2007-11-08,40,40,36.18,37.52,346600
2007-11-09,37.77,37.77,34.389999,36.759998,287700
2007-11-12,36.650002,38,32.669998,35.18,310300
2007-11-13,36.02,41.599998,35.349998,41.060001,329600
2007-11-14,45,46.860001,41.5,43.189999,442800
2007-11-15,43.330002,47.700001,42.330002,46.439999,618800
2007-11-16,46.540001,47.200001,43.709999,46.509998,379900
2007-11-19,46.029999,47.049999,44.02,44.689999,249400
2007-11-20,45.150002,46.110001,43,43.619999,226300
2007-11-21,42.599998,43,40.34,41.200001,111200
2007-11-23,40.259998,42.52,40.009998,42.360001,119000
2007-11-26,42.580002,43.110001,41,41.169998,126800
2007-11-27,41.720001,42.299999,41,41.119999,156500
2007-11-28,41.25,43.610001,40.610001,43.610001,277400
2007-11-29,43.5,44,42.150002,43,96900
2007-11-30,43.5,43.77,42.25,42.41,191800
2007-12-03,44.110001,45.84,44.040001,44.709999,526000
2007-12-04,45.619999,45.619999,42.810001,43.360001,337900
2007-12-05,44.849998,45.599998,43.57,44.240002,254500
2007-12-06,44.240002,44.5,43.259998,44.029999,259700
2007-12-07,44.299999,44.91,43.349998,43.77,109600
2007-12-10,44.099998,50.490002,44,49.970001,857200
2007-12-11,49.68,50,47.029999,47.490002,657500
2007-12-12,48.880001,53.919998,48.630001,50.799999,649700
2007-12-13,50.610001,54.73,49.98,53.630001,353000
2007-12-14,59.5,65.459999,57.52,61.549999,6186300
2007-12-17,66.660004,66.660004,58.400002,60.34,2901800
2007-12-18,61.950001,62.389999,56.360001,59.68,1600400
2007-12-19,59.25,60.43,57.959999,59.900002,720300
2007-12-20,60.990002,61.880001,58.619999,60.470001,655400
2007-12-21,61.810001,62,59.259998,60.060001,610400
2007-12-24,60.700001,61.77,59.169998,60.400002,366100
2007-12-26,60.84,72.959999,60.450001,72.849998,2040100
2007-12-27,72.650002,81.169998,72,75.300003,4763900
2007-12-28,80.730003,80.739998,77.07,78.809998,2393400
2007-12-31,78,78.980003,72.699997,73.879997,1296500
2008-01-02,75.980003,76.809998,68,70.099998,2081400
2008-01-03,72.790001,72.82,68.809998,69.440002,1224600
2008-01-04,66.480003,67.849998,63.169998,64.089996,1356200
2008-01-07,66.160004,66.769997,58.459999,61.369999,1853300
2008-01-08,62.5,65.489998,60.5,61.099998,1183200
2008-01-09,60.07,61.360001,56.580002,60.68,1573600
2008-01-10,59.639999,65.980003,58.68,64.059998,1506600
2008-01-11,63.43,67.5,61.02,62.599998,1446100
2008-01-14,64.410004,65,62.66,64.709999,742600
2008-01-15,63.91,66,59.799999,59.98,835000
2008-01-16,57.279999,59.25,50.98,54.23,2382200
2008-01-17,54.400002,55.490002,43.419998,45.41,2724600
2008-01-18,48.459999,49.07,45.200001,47.049999,2180800
2008-01-22,40.389999,49.470001,40.16,47.709999,1374100
2008-01-23,45.970001,50.740002,44.5,50.02,1318900
2008-01-24,51.970001,57.740002,51.110001,56.639999,1986700
2008-01-25,59.950001,61.75,53,54.060001,1869700
2008-01-28,43.450001,46.68,40.549999,42.599998,4790000
2008-01-29,44.459999,44.790001,41.25,41.700001,1913100
2008-01-30,40.799999,41,35.959999,36.110001,3316900
2008-01-31,34.610001,37.900002,34,37.029999,2218000
2008-02-01,38.5,38.880001,36.720001,37.48,1546900
2008-02-04,38.279999,38.310001,36.459999,36.490002,1099600
2008-02-05,35.48,38.25,34.790001,36.259998,1224200
2008-02-06,37.619999,37.68,33.799999,33.950001,1144700
2008-02-07,33.139999,34.450001,31.4,31.73,1816400
2008-02-08,32,32.939999,31,31.719999,1221600
2008-02-11,32.509998,36.48,32.25,36.150002,2545000
2008-02-12,37.400002,38.869999,34.110001,34.610001,2550200
2008-02-13,35.48,36.900002,34,36.75,1228100
2008-02-14,37.299999,38.41,35,35.389999,1330200
2008-02-15,35.27,36.299999,34.43,35.790001,658000
2008-02-19,37.060001,37.48,34.580002,34.630001,970200
2008-02-20,33.75,35.43,32.91,34.580002,807600
2008-02-21,34.900002,35.189999,32.98,33.150002,518100
2008-02-22,33.080002,33.889999,32.209999,33.400002,456900
2008-02-25,33.32,33.990002,32.669998,33.830002,610600
2008-02-26,33.099998,34.02,32.75,33.380001,575700
2008-02-27,33.049999,37.009998,33,36.630001,1515200
2008-02-28,35.919998,38.41,35.919998,37.380001,1410300
2008-02-29,36.82,37.580002,35.849998,36.150002,694800
2008-03-03,38.349998,39.450001,37.060001,37.59,1285500
2008-03-04,36.860001,37.77,34.099998,35.869999,1227700
2008-03-05,36.73,38.049999,36.400002,37.130001,1374800
