date,open,high,low,close,volume
2020-11-24,11.03,17.200001,10.7,14.44,4148100
2020-11-25,14.49,15.9,12.9,14.21,1340500
2020-11-27,14.28,15.239,13.5,14.12,441700
2020-11-30,14.12,14.575,13,13.15,637400
2020-12-01,13.22,13.5,11.18,12.79,1279900
2020-12-02,12.2,12.33,11.41,11.52,659100
2020-12-03,11.91,13.41,11.7,13.09,635700
2020-12-04,13.18,15.1,12.42,14.91,976300
2020-12-07,14.6,15.17,13.3,13.42,642700
2020-12-08,13.67,13.99,12.41,12.9,714200
2020-12-09,13.1,14.64,12.51,13.25,1108100
2020-12-10,12.83,13.42,12.7,13.28,363400
2020-12-11,13,13.5,12.5,12.51,357600
2020-12-14,12.95,12.95,11.65,12.01,415700
2020-12-15,12.05,12.29,11.2,11.89,340600
2020-12-16,11.71,12.15,11.536,11.91,161300
2020-12-17,12.2,15.2,12.077,12.93,2288600
2020-12-18,13.11,13.83,12.7,13.02,465000
2020-12-21,13.7,16.690001,13.63,15.86,2338400
2020-12-22,16.763,17.9,15.136,15.66,1511400
2020-12-23,15.5,16.299999,14.66,15.05,479500
2020-12-24,15.46,15.46,13.65,14.12,464700
2020-12-28,14.3,14.38,13.4,13.99,294300
2020-12-29,13.65,13.89,12.67,13.22,440400
2020-12-30,13.18,14.29,13.02,13.89,262900
2020-12-31,13.54,13.83,13.23,13.45,136300
2021-01-04,13.51,13.89,12.9,13.67,187500
2021-01-05,13.55,14.54,13.37,14.31,308200
2021-01-06,14.72,15.993,14.02,14.1,690600
2021-01-07,14.46,14.89,14.32,14.53,178000
2021-01-08,14.52,14.75,13.16,13.34,388700
2021-01-11,13.6,14.6,13.45,14.06,514800
2021-01-12,13.94,14,13.37,13.73,237000
2021-01-13,13.77,14.55,13.5,14.24,249700
2021-01-14,14.49,16.91,14.423,15.81,698800
2021-01-15,16,16.15,14.22,14.37,464100
2021-01-19,14.5,15.7,14.1,15.4,487100
2021-01-20,15.09,15.4,14.44,14.79,202000
2021-01-21,15.02,15.71,14.75,15.6,259200
2021-01-22,15.5,16.5,15.3,15.64,429300
2021-01-25,15.91,15.99,14.36,15.18,318900
2021-01-26,14.98,15.83,14.8,15.43,254200
2021-01-27,14.98,15.8,14.1,15,456500
2021-01-28,15.14,15.74,14.37,15.62,663800
2021-01-29,15.32,15.57,14.45,14.83,305500
2021-02-01,14.81,15.09,14.3,14.8,165900
2021-02-02,14.8,14.851,13.91,14.04,210300
2021-02-03,14.15,14.77,13.8,14.41,205900
2021-02-04,14.47,14.827,14.31,14.48,92600
2021-02-05,14.54,15.14,14.16,14.65,117000
2021-02-08,14.91,17.49,14.51,16.209999,777200
2021-02-09,16.129999,16.4,15.3,16.17,278400
2021-02-10,16.49,16.5,14.89,15.55,167700
2021-02-11,16,16.124001,14.89,15,122300
2021-02-12,15,15.49,15,15.15,158100
2021-02-16,15.5,15.575,15,15.07,148800
2021-02-17,15.2,15.375,14.25,14.39,149300
2021-02-18,14.33,14.43,13.41,13.515,205300
2021-02-19,13.65,14.2,13.55,13.95,143300
2021-02-22,13.9,14.01,13.1,13.12,167200
2021-02-23,12.86,13,10.781,11.94,225400
2021-02-24,12.2,12.2,11.63,11.91,124800
2021-02-25,11.91,12.38,11.335,11.48,176000
2021-02-26,11.5,11.97,11.1,11.41,141800
2021-03-01,11.77,11.8,11.35,11.36,112700
2021-03-02,11.56,11.58,11.11,11.24,90100
2021-03-03,11.2,11.38,10.187,10.23,123600
2021-03-04,10.17,10.43,9,9.23,259000
2021-03-05,9.5,9.79,8.31,9.28,150800
2021-03-08,9.62,9.66,9,9.1,126300
2021-03-09,9.25,9.64,9.25,9.46,74100
2021-03-10,9.72,10.2,9.63,9.68,109700
2021-03-11,9.99,10.195,9.75,10.1,59200
2021-03-12,10.03,10.249,9.8,10.06,41800
2021-03-15,10.16,10.4,10.07,10.26,43500
2021-03-16,10.28,10.36,9.78,9.95,50000
2021-03-17,9.78,9.89,9.5,9.56,77100
2021-03-18,9.68,9.68,9,9.05,79400
2021-03-19,9.18,9.356,8.9,9.01,85500
2021-03-22,9.08,9.23,8.67,8.67,73400
2021-03-23,8.65,8.79,7.96,8.12,99500
2021-03-24,8.23,8.492,7.58,7.69,79500
2021-03-25,7.45,7.544,6.9,7.5,146400
2021-03-26,7.896,7.92,7.07,7.1,126300
2021-03-29,7.19,7.5,7.02,7.34,51400
2021-03-30,7.18,7.75,7.16,7.71,72900
2021-03-31,7.98,7.98,7.5,7.5,73200
2021-04-01,7.52,7.9,7.52,7.57,37400
