date,open,high,low,close,volume
2018-02-07,5.9,5.9,5.85,5.9,4200
2018-02-08,5.9,5.9,5.7,5.7,14900
2018-02-09,5.69,5.77,5.5,5.77,44200
2018-02-12,6,6,5.6,5.65,5000
2018-02-13,5.5,5.6,5.5,5.6,2700
2018-02-14,5.6,5.6,5.6,5.6,1200
2018-02-15,5.6,5.83,5.6,5.7,7200
2018-02-16,5.6,5.6,5.2,5.2,14000
2018-02-20,5.05,7.1,5.05,6.85,54900
2018-02-21,6.87,6.87,6.6,6.7,15400
2018-02-22,6.45,6.5,5.75,6.5,28400
2018-02-23,6,6.7,6,6.5,31300
2018-02-26,6.5,6.5,6.3,6.35,9700
2018-02-27,6.35,6.35,5.9,6.1,19700
2018-02-28,6.09,6.09,5.95,5.95,9300
2018-03-01,5.9,5.9,5.9,5.9,1300
2018-03-02,6,6,6,6,5600
2018-03-05,6,6.25,6,6.25,11300
2018-03-06,6.5,6.5,6,6,5900
2018-03-07,6.25,6.25,6.15,6.15,3100
2018-03-08,6.2,6.89,6.2,6.85,33700
2018-03-09,6.89,6.9,6.7,6.75,20100
2018-03-12,6.77,6.77,6.75,6.75,4200
2018-03-13,6.71,6.71,6.52,6.7,3800
2018-03-14,6.65,6.65,5,5.2,23600
2018-03-15,5.3,6,5.3,6,11600
2018-03-16,6,6.05,6,6.05,30900
2018-03-19,6,6,6,6,100
2018-03-20,6,6.3,6,6.3,5200
2018-03-21,6.3,6.8,6.26,6.55,6600
2018-03-22,6.35,6.55,6.18,6.2,79100
2018-03-23,6.15,6.15,5.55,5.56,15800
2018-03-26,5.7,5.99,5.7,5.99,1200
2018-03-27,6,6,5.75,5.99,18700
2018-03-28,5.75,5.98,5.55,5.98,12800
2018-03-29,5.55,5.75,5.5,5.5,4600
2018-04-02,5.5,5.5,5.5,5.5,0
2018-04-03,5.5,5.5,5.5,5.5,500
2018-04-04,5.5,5.75,5.5,5.55,8100
2018-04-05,5.6,5.87,5.6,5.75,14600
2018-04-06,5.45,5.75,5.43,5.75,6800
2018-04-09,5.5,5.6,5.5,5.6,11800
2018-04-10,5.6,5.6,5.5,5.5,5300
2018-04-11,5.49,5.49,5.4,5.49,1500
2018-04-12,5,5,5,5,5000
2018-04-13,5,5,5,5,3000
2018-04-16,4.9,5.06,4.9,4.99,11600
2018-04-17,4.85,5,4.85,5,900
2018-04-18,5.02,5.02,5,5,600
2018-04-19,4.95,5,4.95,4.99,10100
2018-04-20,4.99,4.99,4.99,4.99,400
2018-04-23,4.98,4.99,4.96,4.96,3200
2018-04-24,4.95,4.95,4.81,4.85,1600
2018-04-25,4.45,4.85,4.45,4.85,8600
2018-04-26,4.5,4.85,4.5,4.73,4500
2018-04-27,4.7,4.74,4.7,4.74,800
2018-04-30,4.74,5,4.74,5,43600
2018-05-01,4.99,4.99,4.75,4.8,14200
2018-05-02,4.79,5,4.6,4.8,10300
2018-05-03,4.8,5,4.8,4.85,14300
2018-05-04,4.78,4.78,4.78,4.78,400
2018-05-07,4.65,4.67,4.6,4.6,2300
2018-05-08,4.65,4.65,4.59,4.6,2400
2018-05-09,4.6,4.8,4.6,4.8,3100
2018-05-10,4.8,4.99,4.8,4.9,9700
2018-05-11,4.9,4.9,4.9,4.9,400
2018-05-14,4.95,5.18,4.95,5.18,21900
2018-05-15,5.12,5.5,5,5.16,22200
2018-05-16,5.97,5.97,5.25,5.25,3500
2018-05-17,5.16,5.5,5.16,5.5,19400
2018-05-18,5.5,5.5,5.25,5.25,5000
2018-05-21,5.35,5.39,5.35,5.39,2400
2018-05-22,5.4,5.4,5.25,5.25,11100
2018-05-23,5,5.25,5,5.25,2100
2018-05-24,5.25,5.25,5.25,5.25,1500
2018-05-25,5.53,5.55,5.37,5.37,23100
2018-05-29,5.25,5.37,5.25,5.25,1500
2018-05-30,5.25,5.25,5.25,5.25,0
2018-05-31,5.25,5.25,5.25,5.25,700
2018-06-01,5.25,5.25,5.25,5.25,3800
2018-06-04,5.25,5.25,5.25,5.25,1900
2018-06-05,5.16,5.27,5.16,5.25,400
2018-06-06,5.1,5.15,5,5,2100
2018-06-07,5.25,5.25,5.25,5.25,3700
2018-06-08,5.25,5.25,5.25,5.25,1300
2018-06-11,5.25,5.25,5.25,5.25,0
2018-06-12,5.125,5.25,5.125,5.25,13900
2018-06-13,5.25,5.25,5,5,16900
2018-06-14,5,5,5,5,0
2018-06-15,5.1,5.1,5.1,5.1,800
2018-06-18,5.1,5.1,4.75,4.85,1800
2018-06-19,4.85,4.85,4.7,4.7,3100
2018-06-20,4.7,4.7,4.7,4.7,0
2018-06-21,4.75,4.75,4.75,4.75,1000
2018-06-22,4.75,4.75,4.75,4.75,700
2018-06-25,4.76,5,4.76,5,14000
2018-06-26,4.98,5.05,4.75,5,31300
2018-06-27,4.99,4.99,4.84,4.88,6500
2018-06-28,4.8,4.8,4.75,4.75,1100
2018-06-29,4.58,4.6,3.32,3.32,14100
2018-07-02,3.535,4.39,3.535,4.3,35800
2018-07-03,4.65,4.65,4.31,4.55,9400
2018-07-05,4.65,5,4.4,4.4,27700
2018-07-06,4.34,4.55,4.34,4.4,8600
2018-07-09,4.4,4.4,4.4,4.4,0
