date,open,high,low,close,volume
2021-06-15,29,33.549999,11,13.5,5127100
2021-06-16,12.79,12.79,9.88,10.35,1242100
2021-06-17,11.04,11.97,9.81,10.09,529700
2021-06-18,9.99,10.47,8.61,9.03,394200
2021-06-21,9.19,9.19,7.51,8.12,402100
2021-06-22,8.12,8.85,7.06,8.4,1056200
2021-06-23,9,9.48,8.38,8.94,1529900
2021-06-24,8.4,9.03,8.05,8.26,450100
2021-06-25,8.37,9.39,8.26,8.6,1114600
2021-06-28,9.05,12.14,8.74,9.6,5393800
2021-06-29,9.39,11.36,9.09,11.06,5906800
2021-06-30,10.67,12.13,8.6,8.74,13515700
2021-07-01,9.205,9.25,7.53,7.68,2724300
2021-07-02,7.2,7.8,6.81,7.28,1092200
2021-07-06,7.4,7.46,6.91,6.97,843900
2021-07-07,6.96,7.1,5.621,6.5,1687700
2021-07-08,6.06,6.45,5.91,6.28,957200
2021-07-09,6.21,6.74,6.082,6.13,1233100
2021-07-12,6.25,6.41,5.78,6.11,435300
2021-07-13,6.04,6.66,6,6.2,1359500
2021-07-14,6.2,7.156,5.8,6.41,2640900
2021-07-15,6.45,7.17,6.1,6.98,3892900
2021-07-16,6.63,6.87,6.13,6.17,2400200
2021-07-19,5.97,5.97,4.85,5.27,1989100
2021-07-20,5.25,5.46,5.07,5.25,993900
2021-07-21,5.24,5.72,5.2,5.53,1562200
2021-07-22,5.96,6.65,5.56,5.74,4541200
2021-07-23,8.14,8.28,5.63,5.73,28185400
2021-07-26,5.28,5.29,4.87,4.91,2248900
2021-07-27,4.8,4.84,4.3,4.42,1525900
2021-07-28,4.42,6.74,4.33,5.22,10970100
2021-07-29,5.08,5.238,4.6,4.66,2417200
2021-07-30,4.6,4.86,4.4,4.425,1140700
2021-08-02,4.56,4.84,4.45,4.47,1408300
2021-08-03,4.546,4.549,4.27,4.3,910300
2021-08-04,4.45,4.54,4.21,4.35,1098600
2021-08-05,4.29,4.34,4.181,4.22,574600
2021-08-06,4.23,4.27,3.94,4.16,833900
2021-08-09,4.14,4.19,4.02,4.04,433500
2021-08-10,4.1,4.33,3.94,4.07,1074400
2021-08-11,4.14,4.17,4.016,4.07,449900
2021-08-12,4.09,4.14,3.76,3.83,641100
2021-08-13,3.81,3.833,3.44,3.48,776900
2021-08-16,3.59,3.61,3.45,3.5,370300
2021-08-17,3.41,3.46,3.22,3.3,806300
2021-08-18,3.36,3.57,3.25,3.3,450200
2021-08-19,3.25,3.48,3.23,3.34,774100
2021-08-20,3.28,3.47,3.2,3.24,924900
2021-08-23,3.25,3.38,3.22,3.29,664500
2021-08-24,3.33,3.39,3.24,3.29,776900
2021-08-25,3.318,3.318,2.96,3.02,2288800
2021-08-26,3.03,3.097,2.95,3.01,567400
2021-08-27,3.01,3.05,2.83,2.89,945000
2021-08-30,2.92,3.33,2.85,3.08,3119900
2021-08-31,3.06,3.21,3.03,3.06,1454200
2021-09-01,3.08,3.19,2.93,3.17,1324200
2021-09-02,3.15,3.52,3.13,3.35,2064600
2021-09-03,3.35,3.49,3.11,3.13,1332500
2021-09-07,3.18,3.27,3.02,3.05,1225700
2021-09-08,3.08,3.15,2.94,2.99,754700
2021-09-09,3.01,3.06,2.96,2.99,522900
2021-09-10,3.05,3.27,2.94,2.95,2302400
